# L  chi    dchi    beta    dbeta    chi2_red
10 6.532 0.006 0.39804 0.00015 1.12
15 13.075 0.014 0.41271 0.00009 1.08
20 21.441 0.022 0.41997 0.00008 0.89
25 31.525 0.041 0.42409 0.00008 1.09
30 43.074 0.065 0.42701 0.00008 0.97
35 56.270 0.100 0.42888 0.00009 1.16
40 70.934 0.169 0.43040 0.00009 1.25
45 87.566 0.225 0.43172 0.00011 0.96
50 105.364 0.316 0.43278 0.00013 0.94
55 123.151 0.427 0.43327 0.00012 1.04
60 143.681 0.547 0.43386 0.00011 1.00
65 164.666 0.744 0.43427 0.00007 1.29
70 186.461 0.776 0.43468 0.00010 1.04
75 211.938 1.165 0.43529 0.00011 1.24
80 236.031 1.302 0.43548 0.00009 1.12
85 265.603 1.685 0.43581 0.00008 0.96
90 289.852 2.072 0.43590 0.00012 1.21
