# x    u_init    u_nu1e-02    u_nu1e-03    u_nu3e-04    u_nu1e-04
0.000000000000000000e+00 0.000000000000000000e+00 -2.205995694275218600e-15 -6.695682897017804669e-15 -8.461391587389008976e-15 -9.567009406907650396e-15
1.000000000000000056e-01 1.541025797688697985e+01 8.765285614736486805e-03 1.532506035306848702e-01 5.193475131870196604e-01 1.535440946801899686e+00
2.000000000000000111e-01 1.589454484386530631e+01 1.749543017101282474e-02 3.033492102668167156e-01 1.004486030052383017e+00 2.781711580362116631e+00
3.000000000000000444e-01 5.789447496702812224e+00 2.615543994809826911e-02 4.472684900590438994e-01 1.425619345849774788e+00 3.554986611977282163e+00
4.000000000000000222e-01 -2.386979502944086562e-15 3.471061518273289154e-02 5.822230695363019848e-01 1.760931992624722442e+00 3.826227899874280247e+00
5.000000000000000000e-01 2.656875757337520572e+00 4.312669525785141345e-02 7.057726491410341030e-01 1.998680906227468634e+00 3.697226512389812036e+00
6.000000000000000888e-01 5.242183581113177837e+00 5.137000175721594813e-02 8.159052535379719417e-01 2.137539517373272524e+00 3.330570659454605842e+00
7.000000000000000666e-01 2.736871414605778430e+00 5.940757869762447463e-02 9.110964411159683252e-01 2.185321191203938085e+00 2.879074859204721726e+00
8.000000000000000444e-01 2.220446049250313081e-16 6.720732926978863209e-02 9.903420890565146628e-01 2.156533583320982217e+00 2.445907249681286366e+00
9.000000000000000222e-01 1.221011288334604039e+00 7.473814844286122416e-02 1.053164266745541422e+00 2.069388806564032457e+00 2.079465408064725018e+00
1.000000000000000000e+00 3.077683537175251338e+00 8.197005081568939366e-02 1.099591543295780571e+00 1.942893499301131088e+00 1.788876165712250277e+00
1.100000000000000089e+00 1.888803426957488485e+00 8.887429312987742136e-02 1.130116690762981158e+00 1.794499093033727233e+00 1.563655345326284918e+00
1.200000000000000178e+00 -2.220446049250313081e-15 9.542349089532541073e-02 1.145636019658715199e+00 1.638571587676060037e+00 1.388030364928152904e+00
1.300000000000000044e+00 6.554318269412067188e-01 1.015917286177004802e-01 1.147375435058134663e+00 1.485715080096837726e+00 1.247998161839909637e+00
1.400000000000000133e+00 2.125108173157201019e+00 1.073546631588929157e-01 1.136808693968743622e+00 1.342810744822084068e+00 1.133255206138076732e+00
1.500000000000000000e+00 1.481305252752576518e+00 1.126896198054914422e-01 1.115573287936325819e+00 1.213540271894037570e+00 1.036805262033005048e+00
1.600000000000000089e+00 -2.886579864025407005e-15 1.175756806662370813e-01 1.085388920248963496e+00 1.099148070448763503e+00 9.540214757993751293e-01
1.700000000000000178e+00 3.454538278925120554e-01 1.219937650668337648e-01 1.047982777117738129e+00 9.992380926625029636e-01 8.818088046022730664e-01
1.800000000000000044e+00 1.575747859968646525e+00 1.259267016589463717e-01 1.005024808936113345e+00 9.124698817242751225e-01 8.179959737882060988e-01
1.900000000000000133e+00 1.235727657909982291e+00 1.293592920092465071e-01 9.580751500549112842e-01 8.370887351239173491e-01 7.609811129902633864e-01
2.000000000000000000e+00 2.775557561562891351e-15 1.322783654835223421e-01 9.085447173452767533e-01 7.712802817598258809e-01 7.095673361812896429e-01
2.100000000000000089e+00 1.445961158925318790e-01 1.346728252897115286e-01 8.576690283118479918e-01 7.133740433247943713e-01 6.628524102845164689e-01
2.200000000000000178e+00 1.208792350409610084e+00 1.365336855918241610e-01 8.064944363471017175e-01 6.619351688187663507e-01 6.201172783299248037e-01
2.300000000000000266e+00 1.067138674627712058e+00 1.378540996536983809e-01 7.558753367062579498e-01 6.157840503270129995e-01 5.807644001135555678e-01
2.400000000000000355e+00 1.387778780781445676e-14 1.386293790170050610e-01 7.064804697129740685e-01 5.739763311111013566e-01 5.443151706343780649e-01
2.500000000000000000e+00 2.971315939523802412e-15 1.388570037615492747e-01 6.588062328662136480e-01 5.357660949615032919e-01 5.103954746857040092e-01
2.600000000000000089e+00 9.390625058174868478e-01 1.385366239374064834e-01 6.131948881983072530e-01 5.005660312554508495e-01 4.786868251329162716e-01
2.700000000000000178e+00 9.408092961815777144e-01 1.376700522975153052e-01 5.698556803141368032e-01 4.679115600609846659e-01 4.489022469551687822e-01
2.800000000000000266e+00 -8.104628079763642745e-15 1.362612484958073689e-01 5.288871223234204999e-01 4.374314916392426089e-01 4.208049333528396385e-01
2.900000000000000355e+00 -1.121602444751851335e-01 1.343162949496101155e-01 4.902990184460424561e-01 4.088253574692977121e-01 3.942110721272979457e-01
3.000000000000000000e+00 7.265425280053789958e-01 1.318433645957791944e-01 4.540331336670496709e-01 3.818464639396834115e-01 3.689563469116752259e-01
3.100000000000000089e+00 8.397996491122566853e-01 1.288526807977167510e-01 4.199817589516547933e-01 3.562894235920027186e-01 3.448801439034000493e-01
3.200000000000000178e+00 -6.439293542825907934e-15 1.253564696850691107e-01 3.880037297386443318e-01 3.319810073523261074e-01 3.218476652992267595e-01
3.300000000000000266e+00 -2.043008243002525925e-01 1.213689052294754517e-01 3.579377188071123927e-01 3.087733881360680277e-01 2.997581330428282786e-01
3.400000000000000355e+00 5.497546521927781926e-01 1.169060473783045812e-01 3.296128333289657930e-01 2.865390851866809196e-01 2.785176029510902374e-01
3.500000000000000000e+00 7.547627247472155076e-01 1.119857735839537571e-01 3.028566980414736376e-01 2.651671184602683029e-01 2.580252292007099157e-01
3.600000000000000089e+00 -6.772360450213454897e-15 1.066277040791200614e-01 2.775013053646754324e-01 2.445600321086035533e-01 2.381950814390831062e-01
3.700000000000000178e+00 -2.836306788762897879e-01 1.008531212586441655e-01 2.533869658996086849e-01 2.246315515354025683e-01 2.189668591031250222e-01
3.800000000000000266e+00 3.959280087977252727e-01 9.468488353626043630e-02 2.303647079970774780e-01 2.053047103048845634e-01 2.002822818017818973e-01
3.900000000000000355e+00 6.800110765479013830e-01 8.814733405007910139e-02 2.082974625041014993e-01 1.865103314494697684e-01 1.820715037527156910e-01
4.000000000000000000e+00 1.887379141862766119e-15 8.126620459411107444e-02 1.870603374516272843e-01 1.681857802170867722e-01 1.642737064822952231e-01
4.100000000000000533e+00 -3.547365716340633579e-01 7.406851515487550275e-02 1.665402452736585714e-01 1.502739274260862234e-01 1.468494703430766046e-01
4.200000000000000178e+00 2.567563603677321393e-01 6.658246943236786897e-02 1.466350985530275597e-01 1.327222779259333851e-01 1.297596377736332518e-01
4.299999999999999822e+00 6.117632414485746351e-01 5.883734672367944146e-02 1.272527440443375901e-01 1.154822294883215972e-01 1.129511444129296799e-01
4.400000000000000355e+00 1.831867990631508292e-14 5.086339054561746231e-02 1.083097620478556122e-01 9.850843524031716036e-02 9.637618802108741112e-02
4.500000000000000000e+00 -4.208077798377403145e-01 4.269169437004290135e-02 8.973022097165965494e-02 8.175824844000882663e-02 8.000598311468393176e-02
4.600000000000000533e+00 1.263293784461071434e-01 3.435408484257358730e-02 7.144444592357714063e-02 6.519123260073250714e-02 6.381154425710275357e-02
4.700000000000000178e+00 5.472639155896348306e-01 2.588300285203479559e-02 5.338783543697568634e-02 4.876872310165842467e-02 4.774858073538700010e-02
4.800000000000000711e+00 -6.106226635438360972e-16 1.731138281479726801e-02 3.549974146072210762e-02 3.245342875798117033e-02 3.177524639995310540e-02
4.900000000000000355e+00 -4.842868669783244595e-01 8.672530535121736328e-03 1.772241375888808715e-02 1.620906355408609570e-02 1.586720420557110808e-02
5.000000000000000000e+00 -1.212771719537832457e-14 -1.011701943758694526e-15 5.388312246191729583e-16 5.241337420624769513e-16 1.349678651561286406e-15
