# x    u_init    u_nu1e-02    u_nu1e-03    u_nu3e-04    u_nu1e-04
0.000000000000000000e+00 0.000000000000000000e+00 -1.986431852340983270e-15 -7.210343433428755237e-15 -9.964029601405931167e-15 -8.548273200403878422e-15
1.000000000000000056e-01 1.541025797688697985e+01 8.771434535266317209e-03 1.537781496343647025e-01 5.251425947121796112e-01 1.585888267024028853e+00
2.000000000000000111e-01 1.589454484386530631e+01 1.750769801019434399e-02 3.043728237417738791e-01 1.014936506740854227e+00 2.853861629117091514e+00
3.000000000000000444e-01 5.789447496702812224e+00 2.617376691113903683e-02 4.487277132103821287e-01 1.438743097141983895e+00 3.612730888019567210e+00
4.000000000000000222e-01 -2.386979502944086562e-15 3.473491209759570902e-02 5.840332175562221728e-01 1.774402557861054497e+00 3.849488873827031643e+00
5.000000000000000000e-01 2.656875757337520572e+00 4.315684419314812920e-02 7.078313480558978688e-01 2.010370936703969935e+00 3.689014204599008639e+00
6.000000000000000888e-01 5.242183581113177837e+00 5.140585683568028863e-02 8.181001347115421929e-01 2.145952913055062083e+00 3.307053013261864294e+00
7.000000000000000666e-01 2.736871414605778430e+00 5.944896709644951344e-02 9.133132717895396935e-01 2.189809503035879956e+00 2.855654752333645963e+00
8.000000000000000444e-01 2.220446049250313081e-16 6.725405239716641947e-02 9.924726081168981917e-01 2.157272585251849950e+00 2.430231251319113994e+00
9.000000000000000222e-01 1.221011288334604039e+00 7.478998327826294479e-02 1.055113062912644395e+00 2.067166480406402940e+00 2.072172202832835985e+00
1.000000000000000000e+00 3.077683537175251338e+00 8.202675139979848096e-02 1.101281447103624966e+00 1.938805249767121985e+00 1.787250223786256420e+00
1.100000000000000089e+00 1.888803426957488485e+00 8.893559218865690341e-02 1.131492332409492096e+00 1.789650602246241062e+00 1.564598028256834361e+00
1.200000000000000178e+00 -2.220446049250313081e-15 9.548910158148397886e-02 1.146665407923380897e+00 1.633861984735007988e+00 1.389522383632634028e+00
1.300000000000000044e+00 6.554318269412067188e-01 1.016613463518344640e-01 1.148049613039189731e+00 1.481730622475369685e+00 1.249275574171846870e+00
1.400000000000000133e+00 2.125108173157201019e+00 1.074279675518360067e-01 1.137139702873386282e+00 1.339820101149678644e+00 1.134214992956619650e+00
1.500000000000000000e+00 1.481305252752576518e+00 1.127662766429085445e-01 1.115590803304256529e+00 1.211558358590991480e+00 1.037448396022180308e+00
1.600000000000000089e+00 -2.886579864025407005e-15 1.176553439362586773e-01 1.085136005511084800e+00 1.098028971814812182e+00 9.543772511224832833e-01
1.700000000000000178e+00 3.454538278925120554e-01 1.220760790115421879e-01 1.047511224549281250e+00 9.987646888232576403e-01 8.820168072113894198e-01
1.800000000000000044e+00 1.575747859968646525e+00 1.260113028307932592e-01 1.004390512127270929e+00 9.124212389855751448e-01 8.181823879714800185e-01
1.900000000000000133e+00 1.235727657909982291e+00 1.294458113139941302e-01 9.573338848241059740e-01 8.372795668684293036e-01 7.611284411270342609e-01
2.000000000000000000e+00 2.775557561562891351e-15 1.323664301920501052e-01 9.077486129292771100e-01 7.715760249381100611e-01 7.096268837918670025e-01
2.100000000000000089e+00 1.445961158925318790e-01 1.347620610019980569e-01 8.568639023644178954e-01 7.136893585363858206e-01 6.628794812353303589e-01
2.200000000000000178e+00 1.208792350409610084e+00 1.366237181375886400e-01 8.057180596862825173e-01 6.622239666816226444e-01 6.201816204641482644e-01
2.300000000000000266e+00 1.067138674627712058e+00 1.379445569155418050e-01 7.551565983931030068e-01 6.160272304508476182e-01 5.808300691693054629e-01
2.400000000000000355e+00 1.387778780781445676e-14 1.387198926634077845e-01 7.058393380029945874e-01 5.741708818582602625e-01 5.443248184511513266e-01
2.500000000000000000e+00 2.971315939523802412e-15 1.389472108787347671e-01 6.582543570910573960e-01 5.359170381120796911e-01 5.103871520398552963e-01
2.600000000000000089e+00 9.390625058174868478e-01 1.386261685508404784e-01 6.127366613013826013e-01 5.006812910641763592e-01 4.787196980954020464e-01
2.700000000000000178e+00 9.408092961815777144e-01 1.377585867756500049e-01 5.694895791612141212e-01 4.679991599204144093e-01 4.489449528096654540e-01
2.800000000000000266e+00 -8.104628079763642745e-15 1.363484348305707139e-01 5.286071585184096699e-01 4.374983149341529765e-01 4.208022961298206188e-01
2.900000000000000355e+00 -1.121602444751851335e-01 1.344018059100506035e-01 4.900961605818986433e-01 4.088768125695060873e-01 3.941924871470398051e-01
3.000000000000000000e+00 7.265425280053789958e-01 1.319268847531774869e-01 4.538965969369180842e-01 3.818865879665924723e-01 3.689765936952600911e-01
3.100000000000000089e+00 8.397996491122566853e-01 1.289339074223372628e-01 4.199000946104231025e-01 3.563211449250943685e-01 3.449139418728417450e-01
3.200000000000000178e+00 -6.439293542825907934e-15 1.254351135165182041e-01 3.879656808826212888e-01 3.320064235229171490e-01 3.218421269469993740e-01
3.300000000000000266e+00 -2.043008243002525925e-01 1.214446911243319827e-01 3.579328374816299063e-01 3.087940005524051901e-01 2.997359814935205424e-01
3.400000000000000355e+00 5.497546521927781926e-01 1.169787148402657156e-01 3.296318755560304070e-01 2.865559770081256841e-01 2.785311074335828363e-01
3.500000000000000000e+00 7.547627247472155076e-01 1.120550771831737846e-01 3.028918276228856343e-01 2.651810814612846623e-01 2.580548621954282806e-01
3.600000000000000089e+00 -6.772360450213454897e-15 1.066934137686882944e-01 2.775461448007327525e-01 2.445716542005717253e-01 2.381896391621463327e-01
3.700000000000000178e+00 -2.836306788762897879e-01 1.009150225972344495e-01 2.534365346018718212e-01 2.246412762718008604e-01 2.189433212183591881e-01
3.800000000000000266e+00 3.959280087977252727e-01 9.474277782687369476e-02 2.304152855922136645e-01 2.053128772970315707e-01 2.002913432703828100e-01
3.900000000000000355e+00 6.800110765479013830e-01 8.820103840547902085e-02 2.083464098949662224e-01 1.865172040523461749e-01 1.820989335134197140e-01
4.000000000000000000e+00 1.887379141862766119e-15 8.131555194001562070e-02 1.871059017525549539e-01 1.681915647706688499e-01 1.642694466431401101e-01
4.100000000000000533e+00 -3.547365716340633579e-01 7.411335418220696414e-02 1.665813678495964012e-01 1.502787868571018315e-01 1.468253129818633262e-01
4.200000000000000178e+00 2.567563603677321393e-01 6.662266450988228728e-02 1.466712389491863222e-01 1.327263415265905744e-01 1.297652876212876116e-01
4.299999999999999822e+00 6.117632414485746351e-01 5.887277778209428630e-02 1.272837270839149437e-01 1.154856000523719062e-01 1.129773081983242583e-01
4.400000000000000355e+00 1.831867990631508292e-14 5.089395294394207653e-02 1.083356510355085317e-01 9.851119433236364686e-02 9.637352895640884098e-02
4.500000000000000000e+00 -4.208077798377403145e-01 4.271729875419815609e-02 8.975121680867233220e-02 8.176046031529603242e-02 7.998144992254065111e-02
4.600000000000000533e+00 1.263293784461071434e-01 3.437465700557977566e-02 7.146080992203772408e-02 6.519294712551887416e-02 6.381426935413379853e-02
4.700000000000000178e+00 5.472639155896348306e-01 2.589848360406583547e-02 5.339983254356307080e-02 4.876997791498987461e-02 4.777397460823375186e-02
4.800000000000000711e+00 -6.106226635438360972e-16 1.732172787026403302e-02 3.550760026570345951e-02 3.245425084170890095e-02 3.177434643000434655e-02
4.900000000000000355e+00 -4.842868669783244595e-01 8.677710422679717553e-03 1.772629987732038392e-02 1.620947032511431754e-02 1.584230624886355868e-02
5.000000000000000000e+00 -1.212771719537832457e-14 -8.203369245544848830e-16 4.747276626995833392e-16 4.822101894429913945e-16 1.253348311761453878e-15
5.100000000000000533e+00 4.842868669783372271e-01 -8.677710422681360336e-03 -1.772629987731942983e-02 -1.620947032511339814e-02 -1.584230624886112312e-02
5.200000000000000178e+00 8.826273045769994496e-15 -1.732172787026568447e-02 -3.550760026570248806e-02 -3.245425084170809604e-02 -3.177434643000213998e-02
5.300000000000000711e+00 -5.472639155896259489e-01 -2.589848360406750080e-02 -5.339983254356206466e-02 -4.876997791498924317e-02 -4.777397460823201020e-02
5.400000000000000355e+00 -1.263293784461137770e-01 -3.437465700558146875e-02 -7.146080992203666937e-02 -6.519294712551845783e-02 -6.381426935413286872e-02
5.500000000000000000e+00 4.208077798377425349e-01 -4.271729875419986999e-02 -8.975121680867120810e-02 -8.176046031529581037e-02 -7.998144992254072050e-02
5.600000000000000533e+00 -9.048317650695025804e-15 -5.089395294394382513e-02 -1.083356510355073521e-01 -9.851119433236354972e-02 -9.637352895641004835e-02
5.700000000000000178e+00 -6.117632414485751902e-01 -5.887277778209606960e-02 -1.272837270839136947e-01 -1.154856000523718368e-01 -1.129773081983264787e-01
5.800000000000000711e+00 -2.567563603677464057e-01 -6.662266450988410527e-02 -1.466712389491849899e-01 -1.327263415265903801e-01 -1.297652876212903039e-01
5.900000000000000355e+00 3.547365716340314390e-01 -7.411335418220882376e-02 -1.665813678495949857e-01 -1.502787868571014984e-01 -1.468253129818660740e-01
6.000000000000000000e+00 2.664535259100375697e-15 -8.131555194001750808e-02 -1.871059017525534829e-01 -1.681915647706681005e-01 -1.642694466431421085e-01
6.100000000000000533e+00 -6.800110765478899477e-01 -8.820103840548096374e-02 -2.083464098949646959e-01 -1.865172040523448982e-01 -1.820989335134204912e-01
6.200000000000000178e+00 -3.959280087977183893e-01 -9.474277782687567928e-02 -2.304152855922120546e-01 -2.053128772970296834e-01 -2.002913432703818386e-01
6.300000000000000711e+00 2.836306788762830156e-01 -1.009150225972364895e-01 -2.534365346018701559e-01 -2.246412762717984180e-01 -2.189433212183562460e-01
6.400000000000000355e+00 -4.440892098500626162e-15 -1.066934137686903761e-01 -2.775461448007310872e-01 -2.445716542005687277e-01 -2.381896391621414755e-01
6.500000000000000000e+00 -7.547627247472064038e-01 -1.120550771831759218e-01 -3.028918276228839135e-01 -2.651810814612812206e-01 -2.580548621954215638e-01
6.600000000000000533e+00 -5.497546521927451080e-01 -1.169787148402679083e-01 -3.296318755560286862e-01 -2.865559770081219093e-01 -2.785311074335748982e-01
6.700000000000000178e+00 2.043008243002815139e-01 -1.214446911243342309e-01 -3.579328374816282410e-01 -3.087940005524011933e-01 -2.997359814935117717e-01
6.800000000000000711e+00 -1.987299214079030207e-14 -1.254351135165205355e-01 -3.879656808826197345e-01 -3.320064235229130967e-01 -3.218421269469907142e-01
6.900000000000000355e+00 -8.397996491122595719e-01 -1.289339074223396775e-01 -4.199000946104216592e-01 -3.563211449250907048e-01 -3.449139418728340845e-01
7.000000000000000000e+00 -7.265425280053372514e-01 -1.319268847531799849e-01 -4.538965969369168074e-01 -3.818865879665892527e-01 -3.689765936952541514e-01
7.100000000000000533e+00 1.121602444752357042e-01 -1.344018059100531570e-01 -4.900961605818976441e-01 -4.088768125695034228e-01 -3.941924871470362524e-01
7.200000000000000178e+00 1.065814103640150279e-14 -1.363484348305733507e-01 -5.286071585184088928e-01 -4.374983149341509225e-01 -4.208022961298195086e-01
7.300000000000000711e+00 -9.408092961816432176e-01 -1.377585867756527249e-01 -5.694895791612135660e-01 -4.679991599204129660e-01 -4.489449528096661202e-01
7.400000000000000355e+00 -9.390625058175352535e-01 -1.386261685508432817e-01 -6.127366613013823793e-01 -5.006812910641755821e-01 -4.787196980954037118e-01
7.500000000000000000e+00 4.695100324995811987e-15 -1.389472108787376259e-01 -6.582543570910576181e-01 -5.359170381120793580e-01 -5.103871520398575168e-01
