# x    u_init    u_nu1e-02    u_nu1e-03    u_nu3e-04    u_nu1e-04
0.000000000000000000e+00 0.000000000000000000e+00 -1.972402619849605034e-15 -7.580079854103991204e-15 -9.184953766144979933e-15 -8.171934281675584999e-15
1.000000000000000056e-01 1.541025797688697985e+01 8.765284114843825344e-03 1.532490298765390169e-01 5.192905718290350414e-01 1.534002729072173832e+00
2.000000000000000111e-01 1.589454484386530631e+01 1.749542718166566257e-02 3.033461873986000867e-01 1.004386789730146834e+00 2.779867625945778631e+00
3.000000000000000444e-01 5.789447496702812224e+00 2.615543549006073623e-02 4.472642545991528662e-01 1.425502435436682758e+00 3.553907127050086601e+00
4.000000000000000222e-01 -2.386979502944086562e-15 3.471060928687110664e-02 5.822179472178493631e-01 1.760824473285599767e+00 3.826327787550188209e+00
5.000000000000000000e-01 2.656875757337520572e+00 4.312668796480174926e-02 7.057670236124337082e-01 1.998604568280751170e+00 3.698060286183300960e+00
6.000000000000000888e-01 5.242183581113177837e+00 5.136999311695002179e-02 8.158995306152634353e-01 2.137505614805248921e+00 3.331415470562014480e+00
7.000000000000000666e-01 2.736871414605778430e+00 5.940756876891691712e-02 9.110910124606838023e-01 2.185329042707309988e+00 2.879510778262823756e+00
8.000000000000000444e-01 2.220446049250313081e-16 6.720731811959500257e-02 9.903372991492725985e-01 2.156572904310403604e+00 2.445939378745567883e+00
9.000000000000000222e-01 1.221011288334604039e+00 7.473813614561464203e-02 1.053160386440968654e+00 2.069444360256932569e+00 2.079302010166727221e+00
1.000000000000000000e+00 3.077683537175251338e+00 8.197003745252598450e-02 1.099588752286223325e+00 1.942950132263762786e+00 1.788700311665170295e+00
1.100000000000000089e+00 1.888803426957488485e+00 8.887427878780072843e-02 1.130115070097498453e+00 1.794545513915500434e+00 1.563547082016724987e+00
1.200000000000000178e+00 -2.220446049250313081e-15 9.542347566632167211e-02 1.145635554232288911e+00 1.638602065314596290e+00 1.387990427758498457e+00
1.300000000000000044e+00 6.554318269412067188e-01 1.015917125978165747e-01 1.147376024870118583e+00 1.485729138089587620e+00 1.247994520056040946e+00
1.400000000000000133e+00 2.125108173157201019e+00 1.073546464472896755e-01 1.136810172085167103e+00 1.342811551697250527e+00 1.133260233886997703e+00
1.500000000000000000e+00 1.481305252752576518e+00 1.126896025034847260e-01 1.115575442565538866e+00 1.213532619097355880e+00 1.036810232919793018e+00
1.600000000000000089e+00 -2.886579864025407005e-15 1.175756628763398870e-01 1.085391518185911730e+00 1.099136658322546589e+00 9.540271821806945995e-01
1.700000000000000178e+00 3.454538278925120554e-01 1.219937468918113332e-01 1.047985586005487635e+00 9.992264919380762223e-01 8.818132776455659405e-01
1.800000000000000044e+00 1.575747859968646525e+00 1.259266832008971437e-01 1.005027616265725898e+00 9.124601943859838027e-01 8.179965300682821017e-01
1.900000000000000133e+00 1.235727657909982291e+00 1.293592733687202734e-01 9.580777774786080059e-01 8.370817605653713134e-01 7.609803114290868420e-01
2.000000000000000000e+00 2.775557561562891351e-15 1.322783467586867989e-01 9.085470296038918869e-01 7.712759270155653546e-01 7.095686975673696217e-01
2.100000000000000089e+00 1.445961158925318790e-01 1.346728065755772863e-01 8.576709367730610545e-01 7.133717597531594734e-01 6.628542603280920265e-01
2.200000000000000178e+00 1.208792350409610084e+00 1.365336669795375046e-01 8.064958977329896861e-01 6.619342891509942817e-01 6.201166783250889880e-01
2.300000000000000266e+00 1.067138674627712058e+00 1.378540812299096363e-01 7.558763480033388049e-01 6.157839875932893392e-01 5.807630650545950735e-01
2.400000000000000355e+00 1.387778780781445676e-14 1.386293608633194230e-01 7.064810604828055673e-01 5.739766580348190095e-01 5.443159919321526319e-01
2.500000000000000000e+00 2.971315939523802412e-15 1.388569859540655371e-01 6.588064562167034177e-01 5.357665456091005307e-01 5.103969483365722315e-01
2.600000000000000089e+00 9.390625058174868478e-01 1.385366065463475016e-01 6.131948115651181253e-01 5.005664658156001590e-01 4.786862132940525316e-01
2.700000000000000178e+00 9.408092961815777144e-01 1.376700353869527715e-01 5.698553769821271819e-01 4.679119214288599560e-01 4.489009250625681235e-01
2.800000000000000266e+00 -8.104628079763642745e-15 1.362612321234820401e-01 5.288866643394397604e-01 4.374317687802629639e-01 4.208055535730287344e-01
2.900000000000000355e+00 -1.121602444751851335e-01 1.343162791668467693e-01 4.902984712833500236e-01 4.088255602994361748e-01 3.942124081389505874e-01
3.000000000000000000e+00 7.265425280053789958e-01 1.318433494474946233e-01 4.540325527362326641e-01 3.818466087798362274e-01 3.689558317633785389e-01
3.100000000000000089e+00 8.397996491122566853e-01 1.288526663225172675e-01 4.199811878393100995e-01 3.562895261630852350e-01 3.448788736845758707e-01
3.200000000000000178e+00 -6.439293542825907934e-15 1.253564559154326519e-01 3.880031999065920445e-01 3.319810802560791418e-01 3.218481444402015446e-01
3.300000000000000266e+00 -2.043008243002525925e-01 1.213688921920127728e-01 3.579372504032359847e-01 3.087734405674696370e-01 2.997593947021205962e-01
3.400000000000000355e+00 5.497546521927781926e-01 1.169060350940916981e-01 3.296124367386947807e-01 2.865391235129794989e-01 2.785171972473809987e-01
3.500000000000000000e+00 7.547627247472155076e-01 1.119857620689280187e-01 3.028563758335113265e-01 2.651671469758825617e-01 2.580240023964370244e-01
3.600000000000000089e+00 -6.772360450213454897e-15 1.066276933445303166e-01 2.775010543403721441e-01 2.445600536873071273e-01 2.381954406689227033e-01
3.700000000000000178e+00 -2.836306788762897879e-01 1.008531113115452155e-01 2.533867790272545384e-01 2.246315681109797291e-01 2.189680750496565687e-01
3.800000000000000266e+00 3.959280087977252727e-01 9.468487438004163925e-02 2.303645760873821724e-01 2.053047231973271214e-01 2.002819830480862540e-01
3.900000000000000355e+00 6.800110765479013830e-01 8.814732568501588983e-02 2.082973755516260850e-01 1.865103415768462058e-01 1.820703079045510320e-01
4.000000000000000000e+00 1.887379141862766119e-15 8.126619701792861528e-02 1.870602856229330868e-01 1.681857882305890506e-01 1.642739567763613351e-01
4.100000000000000533e+00 -3.547365716340633579e-01 7.406850836331319021e-02 1.665402195638246707e-01 1.502739337960312671e-01 1.468506576875927838e-01
4.200000000000000178e+00 2.567563603677321393e-01 6.658246341973389493e-02 1.466350911579797356e-01 1.327222829971545781e-01 1.297594415274564428e-01
4.299999999999999822e+00 6.117632414485746351e-01 5.883734148338459757e-02 1.272527485090399479e-01 1.154822335165006930e-01 1.129499684455206043e-01
4.400000000000000355e+00 1.831867990631508292e-14 5.086338607067817513e-02 1.083097732527356916e-01 9.850843841630256559e-02 9.637633584979055090e-02
4.500000000000000000e+00 -4.208077798377403145e-01 4.269169065354411902e-02 8.973023501490060005e-02 8.175825090639396442e-02 8.000715391179770430e-02
4.600000000000000533e+00 1.263293784461071434e-01 3.435408187808259434e-02 7.144445994811368661e-02 6.519123446330912786e-02 6.381144704151525682e-02
4.700000000000000178e+00 5.472639155896348306e-01 2.588300063395850698e-02 5.338784744065848409e-02 4.876872443737199914e-02 4.774741513659584713e-02
4.800000000000000711e+00 -6.106226635438360972e-16 1.731138133867624052e-02 3.549975011795711982e-02 3.245342962041037477e-02 3.177529529865315977e-02
4.900000000000000355e+00 -4.842868669783244595e-01 8.672529797855632258e-03 1.772241827321285185e-02 1.620906397710003555e-02 1.586836808476488683e-02
5.000000000000000000e+00 -1.212771719537832457e-14 -8.829920443621674057e-16 5.160062062169269769e-16 3.985513603675743628e-16 1.251205663086323495e-15
5.100000000000000533e+00 4.842868669783372271e-01 -8.672529797857377390e-03 -1.772241827321173469e-02 -1.620906397709924451e-02 -1.586836808476235067e-02
5.200000000000000178e+00 8.826273045769994496e-15 -1.731138133867799953e-02 -3.549975011795598184e-02 -3.245342962040968088e-02 -3.177529529865088381e-02
5.300000000000000711e+00 -5.472639155896259489e-01 -2.588300063396026252e-02 -5.338784744065718652e-02 -4.876872443737140933e-02 -4.774741513659401526e-02
5.400000000000000355e+00 -1.263293784461137770e-01 -3.435408187808437069e-02 -7.144445994811232659e-02 -6.519123446330876703e-02 -6.381144704151446578e-02
5.500000000000000000e+00 4.208077798377425349e-01 -4.269169065354590925e-02 -8.973023501489911513e-02 -8.175825090639364523e-02 -8.000715391179813452e-02
